name,position,age,height,league_rank,average_market_value,highest_market_value,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,data_year,nationality,mil_average_market_value
Pietro Terracciano,Goalkeeper,32,193,4,1333333.4,1500000,3205,89.027779,0,0,0,0,0,0,0,.52272725,2023,Italy,1.3333334
Pontus Jansson,Defender,31,196,1,6500000,7000000,3412,89.789474,.052631579,2,.00058616645,.078947365,3,.00087924971,7,.34999999,2023,Sweden,6.5
Presnel Kimpembe,Defender,26,183,5,40000000,40000000,3290,86.578949,0,0,0,.02631579,1,.00030395135,9,.63829786,2023,France,40
Péter Gulácsi,Goalkeeper,32,190,2,9500000,11000000,4437,90.551018,0,0,0,0,0,0,1,.53846157,2023,Hungary,9.5
Rafael Tolói,Defender,31,185,4,10500000,13000000,2081,74.321426,.035714287,1,.00048053821,.035714287,1,.00048053821,8,.42307693,2023,Brazil,10.5
Raheem Sterling,Attack,27,170,1,77500000,85000000,2909,64.644447,.17777778,8,.0027500859,.37777779,17,.0058439327,2,.71428573,2023,England,77.5
Ramy Bensebaini,Defender,27,187,2,18666666,22000000,2089,87.041664,.083333336,2,.00095739588,.25,6,.0028721876,6,.37837839,2023,Algeria,18.666666
Rani Khedira,Midfield,28,189,2,5750000,6000000,3368,86.358971,.025641026,1,.00029691213,0,0,0,9,.51219511,2023,Germany,5.75
Raphael Framberger,Defender,26,179,2,1650000,1800000,929,38.708332,0,0,0,0,0,0,3,.30555555,2023,Germany,1.65
Raphaël Guerreiro,Defender,28,170,2,30000000,35000000,2166,77.35714,.14285715,4,.0018467221,.17857143,5,.0023084027,1,.5869565,2023,Portugal,30
Raphaël Varane,Defender,29,191,1,57666668,65000000,2362,81.448273,.034482758,1,.00042337002,.034482758,1,.00042337002,1,.41666666,2023,France,57.666668
Reece Oxford,Defender,23,190,2,8750000,12000000,2814,90.774193,.032258064,1,.00035536604,.096774191,3,.0010660981,9,.30555555,2023,England,8.75
Remo Freuler,Midfield,30,180,4,22000000,24000000,3528,82.046509,.13953489,6,.0017006802,.046511628,2,.00056689343,10,.42307693,2023,Switzerland,22
Renato Steffen,Attack,30,170,2,2933333.3,4000000,1271,48.884617,.07692308,2,.0015735641,.07692308,2,.0015735641,9,.31707317,2023,Switzerland,2.9333332
Renato Tapia,Midfield,26,185,3,13250000,18000000,1581,49.40625,.03125,1,.00063251104,0,0,0,10,.34146342,2023,Peru,13.25
Renaud Ripart,Attack,29,181,5,4333333.5,5000000,1904,68,.10714286,3,.0015756303,.071428575,2,.0010504202,2,.23684211,2023,France,4.3333335
Rey Manaj,Attack,25,182,4,1166666.6,1500000,1769,58.966667,0,0,0,.16666667,5,.0028264555,9,.27500001,2023,Albania,1.1666666
Ricardo Rodríguez,Defender,29,182,4,2700000,3400000,2597,72.138885,.027777778,1,.00038505968,0,0,0,4,.34999999,2023,Switzerland,2.7
Riccardo Gagliolo,Defender,32,180,4,1000000,1400000,1315,69.210526,.052631579,1,.00076045626,0,0,0,2,.2,2023,Italy,1
Riccardo Marchizza,Defender,24,186,4,2000000,2000000,1616,73.454544,.045454547,1,.00061881187,0,0,0,4,.29268292,2023,Italy,2
Riccardo Orsolini,Attack,25,183,4,10000000,10000000,1878,62.599998,.13333334,4,.0021299254,.23333333,7,.0037273695,2,.30769232,2023,Italy,10
Riccardo Saponara,Midfield,30,184,4,2750000,3000000,1553,45.676472,.11764706,4,.0025756601,.088235296,3,.001931745,1,.52272725,2023,Italy,2.75
Riccardo Sottil,Attack,23,180,4,9000000,9000000,1434,49.448277,.068965517,2,.0013947001,.13793103,4,.0027894003,4,.52272725,2023,Italy,9
Rick Karsdorp,Defender,27,184,4,14000000,15000000,3251,81.275002,.075000003,3,.000922793,0,0,0,9,.5,2023,Netherlands,14
Rico Henry,Defender,24,170,1,15750000,20000000,2867,81.914284,0,0,0,.085714288,3,.0010463899,2,.34999999,2023,England,15.75
Ridgeciano Haps,Defender,29,175,4,2600000,3000000,2129,73.413795,.068965517,2,.0009394082,.034482758,1,.0004697041,7,.19512194,2023,Netherlands,2.5999999
Riyad Mahrez,Attack,31,179,1,37500000,40000000,2770,61.555557,.17777778,8,.0028880867,.48888889,22,.0079422379,1,.71428573,2023,Algeria,37.5
Rob Holding,Defender,26,189,1,10666667,12000000,931,58.1875,0,0,0,.0625,1,.0010741139,4,.56410259,2023,England,10.666667
Robert Andrich,Midfield,27,187,2,12333333,13000000,2325,70.454544,.090909094,3,.0012903226,.21212122,7,.0030107526,8,.54545456,2023,Germany,12.333333
Robert Gumny,Defender,24,182,2,2666666.8,3000000,2412,80.400002,0,0,0,0,0,0,3,.30555555,2023,Poland,2.6666667
Robert Lewandowski,Attack,33,185,2,47500000,50000000,4006,87.08696,.15217391,7,.001747379,1.0869565,50,.012481278,3,.70212764,2023,Poland,47.5
Robert Skov,Midfield,26,185,2,7666666.5,8000000,388,29.846153,.30769232,4,.010309278,0,0,0,1,.4054054,2023,Denmark,7.6666665
Robert Tesche,Midfield,35,182,2,350000,350000,467,38.916668,0,0,0,.083333336,1,.0021413276,3,.39473686,2023,Germany,.34999999
Roberto Gagliardini,Midfield,28,188,4,10000000,12000000,785,32.708332,.083333336,2,.0025477707,.083333336,2,.0025477707,3,.65384614,2023,Italy,10
Roberto Pereyra,Midfield,31,182,4,7000000,7500000,1860,74.400002,.23999999,6,.0032258064,.2,5,.002688172,10,.31707317,2023,Argentina,7
Roberto Soriano,Midfield,31,182,4,6500000,8000000,2727,75.75,.11111111,4,.0014668134,.027777778,1,.00036670335,6,.30769232,2023,Italy,6.5
Robin Gosens,Midfield,27,183,4,31500000,35000000,740,43.529411,.11764706,2,.0027027028,.17647059,3,.0040540542,3,.65384614,2023,Germany,31.5
Robin Hack,Attack,23,178,2,2150000,2300000,1409,45.451614,.096774191,3,.0021291696,0,0,0,2,.16666667,2023,Germany,2.1500001
