name,position,age,height,league_rank,average_market_value,highest_market_value,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,data_year,nationality,mil_average_market_value
Sofiane Boufal,Attack,28,175,5,7250000,8000000,2344,80.827583,.1724138,5,.0021331059,.27586207,8,.0034129692,6,.2631579,2023,Morocco,7.25
Sofiane Diop,Attack,22,175,5,20000000,20000000,2392,58.341465,.17073171,7,.0029264214,.19512194,8,.0033444816,6,.5,2023,France,20
Sofyan Amrabat,Midfield,25,185,4,10333333,12000000,1052,42.080002,0,0,0,.039999999,1,.00095057033,6,.52272725,2023,Morocco,10.333333
Souleyman Doumbia,Defender,25,183,5,2750000,3000000,2231,82.629631,.037037037,1,.00044822949,0,0,0,10,.2631579,2023,Ivory Coast,2.75
Stanislav Lobotka,Midfield,27,170,4,15000000,20000000,1882,72.384613,0,0,0,.03846154,1,.00053134962,2,.57446808,2023,Slovakia,15
Stefan Bell,Defender,30,192,2,2500000,2500000,3140,87.222221,0,0,0,.055555556,2,.00063694268,10,.4054054,2023,Germany,2.5
Stefan Ilsanker,Midfield,33,189,2,1250000,1500000,286,20.428572,0,0,0,0,0,0,1,.375,2023,Austria,1.25
Stefan Lainer,Defender,29,175,2,7125000,10000000,1616,70.260872,.13043478,3,.0018564357,.043478262,1,.00061881187,2,.37837839,2023,Austria,7.125
Stefan Posch,Defender,25,190,2,10666667,11000000,2427,78.290321,0,0,0,.064516127,2,.00082406262,5,.4054054,2023,Austria,10.666667
Stefan de Vrij,Defender,30,189,4,36000000,45000000,3364,82.048782,.024390243,1,.00029726516,.024390243,1,.00029726516,3,.65384614,2023,Netherlands,36
Stefano Sensi,Midfield,26,168,4,8333333.5,10000000,952,41.391304,0,0,0,.086956523,2,.0021008404,1,.29268292,2023,Italy,8.333334
Stefano Sturaro,Midfield,29,181,4,3500000,4000000,1822,70.07692,0,0,0,0,0,0,11,.14634146,2023,Italy,3.5
Stefanos Kapino,Goalkeeper,28,196,2,700000,700000,90,90,0,0,0,0,0,0,0,.16666667,2023,Greece,.69999999
Steffen Tigges,Attack,23,194,2,1500000,1500000,374,24.933332,0,0,0,.2,3,.0080213901,0,.5869565,2023,Germany,1.5
Stephan El Shaarawy,Attack,29,178,4,6500000,7000000,1072,36.965519,0,0,0,.13793103,4,.0037313432,1,.5,2023,Italy,6.5
Steve Mandanda,Goalkeeper,37,187,5,1750000,2000000,900,90,0,0,0,0,0,0,0,.5,2023,France,1.75
Steve Mounié,Attack,27,190,5,7000000,7000000,2312,66.057144,.057142857,2,.00086505193,.25714287,9,.0038927335,1,.34210527,2023,Benin,7
Steven Bergwijn,Attack,24,178,1,18000000,18000000,628,22.428572,.035714287,1,.0015923567,.10714286,3,.0047770701,1,.58139533,2023,Netherlands,18
Stole Dimitrievski,Goalkeeper,28,188,3,2333333.3,3000000,2951,89.42424,0,0,0,0,0,0,1,.35555556,2023,FYR Macedonia,2.3333333
Stuart Armstrong,Midfield,30,183,1,6000000,6000000,1737,59.896553,.034482758,1,.00057570526,.10344828,3,.0017271157,1,.2857143,2023,Scotland,6
Stuart Dallas,Defender,31,183,1,4000000,4000000,2967,84.771431,.028571429,1,.00033704078,.028571429,1,.00033704078,5,.23076923,2023,Northern Ireland,4
Stéphane Bahoken,Attack,30,185,5,4833333.5,5500000,1096,37.793102,.034482758,1,.00091240875,.10344828,3,.0027372262,0,.2631579,2023,Cameroon,4.8333335
Suat Serdar,Midfield,25,184,2,9666667,12000000,2441,73.969696,.060606062,2,.00081933633,.12121212,4,.0016386727,8,.2972973,2023,Germany,9.666667
Sven Michel,Attack,31,177,2,1066666.6,1200000,435,27.1875,.125,2,.0045977011,.25,4,.0091954023,3,.51219511,2023,Germany,1.0666666
Sven Ulreich,Goalkeeper,33,192,2,900000,900000,720,90,0,0,0,0,0,0,0,.70212764,2023,Germany,.89999998
Sébastien Corchia,Defender,31,176,5,1900000,2000000,1318,47.07143,.10714286,3,.0022761761,0,0,0,0,.39473686,2023,France,1.9
Taiwo Awoniyi,Attack,24,183,2,14333333,20000000,2575,69.594597,.13513513,5,.0019417476,.48648649,18,.0069902912,1,.51219511,2023,Nigeria,14.333333
Tammy Abraham,Attack,24,194,4,44333332,50000000,3337,83.425003,.125,5,.0014983518,.44999999,18,.0053940667,10,.5,2023,England,44.333332
Tarsis Bonga,Attack,25,197,2,300000,300000,14,4.6666665,0,0,0,0,0,0,0,.39473686,2023,Germany,.30000001
Teemu Pukki,Attack,32,180,1,4500000,5000000,3391,84.775002,.1,4,.001179593,.27500001,11,.0032438808,5,.17073171,2023,Finland,4.5
Teun Koopmeiners,Midfield,24,183,4,22666666,25000000,3220,68.510635,.08510638,4,.001242236,.08510638,4,.001242236,6,.42307693,2023,Netherlands,22.666666
Thibaut Courtois,Goalkeeper,30,200,3,62500000,65000000,4770,91.730766,0,0,0,0,0,0,1,.6964286,2023,Belgium,62.5
Thilo Kehrer,Defender,25,186,5,23500000,25000000,1660,53.548386,0,0,0,.064516127,2,.0012048193,2,.63829786,2023,Germany,23.5
Thomas Delaine,Defender,30,180,5,2000000,2000000,2316,79.862068,.068965517,2,.00086355786,.034482758,1,.00043177893,4,.15789473,2023,France,2
Thomas Delaney,Midfield,30,182,3,8000000,9000000,2042,55.18919,.027027028,1,.00048971595,.054054055,2,.0009794319,8,.46153846,2023,Denmark,8
Thomas Foket,Defender,27,177,5,5000000,5000000,2240,77.241379,.034482758,1,.00044642857,.034482758,1,.00044642857,5,.28947368,2023,Belgium,5
Thomas Lemar,Midfield,26,171,3,40000000,40000000,2000,57.142857,.17142858,6,.003,.11428571,4,.0020000001,2,.49019608,2023,France,40
Thomas Mangani,Midfield,35,183,5,700000,800000,2195,66.515152,.060606062,2,.00091116171,.21212122,7,.003189066,6,.2631579,2023,France,.69999999
Thomas Meunier,Defender,30,191,2,7750000,9000000,2096,80.615387,.1923077,5,.0023854962,.07692308,2,.00095419848,6,.5869565,2023,Belgium,7.75
Thomas Monconduit,Midfield,31,184,5,1500000,1500000,2254,66.294121,.05882353,2,.00088731147,.088235296,3,.0013309672,5,.21052632,2023,France,1.5
Thomas Müller,Attack,32,185,2,23500000,25000000,3565,79.222221,.55555558,25,.0070126229,.2888889,13,.0036465637,0,.70212764,2023,Germany,23.5
Thomas Partey,Midfield,29,185,1,39000000,40000000,2033,84.708336,.041666668,1,.0004918839,.083333336,2,.00098376779,6,.56410259,2023,Ghana,39
Thomas Strakosha,Goalkeeper,27,193,4,7166666.5,7500000,2790,90,0,0,0,0,0,0,2,.4375,2023,Albania,7.1666665
Thorgan Hazard,Attack,29,175,2,17500000,20000000,1657,55.233334,.033333335,1,.00060350029,.2,6,.0036210017,2,.5869565,2023,Belgium,17.5
Tim Krul,Goalkeeper,34,193,1,2000000,2000000,2790,90,0,0,0,0,0,0,1,.17073171,2023,Netherlands,2
Timo Baumgartl,Defender,26,190,2,5000000,5000000,2829,88.40625,.0625,2,.00070696359,.03125,1,.0003534818,5,.51219511,2023,Germany,5
Timo Horn,Goalkeeper,29,192,2,2933333.3,4000000,1170,90,0,0,0,0,0,0,0,.43243244,2023,Germany,2.9333332
Timo Hübers,Defender,25,190,2,4000000,7500000,2072,90.08696,0,0,0,.043478262,1,.00048262547,8,.43243244,2023,Germany,4
Timo Werner,Attack,26,180,1,45500000,55000000,1970,59.696968,.18181819,6,.0030456854,.30303031,10,.005076142,1,.63157892,2023,Germany,45.5
Timothy Castagne,Defender,26,185,1,28000000,28000000,2576,80.5,0,0,0,.03125,1,.00038819876,1,.38297874,2023,Belgium,28
Timothy Chandler,Defender,32,186,2,1350000,1500000,1557,70.772728,.045454547,1,.00064226077,0,0,0,5,.375,2023,United States,1.35
Timothy Tillman,Midfield,23,183,2,1500000,1800000,2131,71.033333,.1,3,.0014077898,.033333335,1,.00046926326,3,.085714288,2023,Germany,1.5
Timothy Weah,Midfield,22,183,5,13333333,15000000,1888,53.942856,.14285715,5,.0026483051,.085714288,3,.001588983,2,.38297874,2023,United States,13.333333
Tobias Sippel,Goalkeeper,34,183,2,400000,400000,90,90,0,0,0,0,0,0,0,.37837839,2023,Germany,.40000001
Tobias Strobl,Midfield,32,188,2,950000,1000000,445,74.166664,0,0,0,0,0,0,2,.30555555,2023,Germany,.94999999
Todd Cantwell,Midfield,24,180,1,19000000,20000000,485,53.888889,0,0,0,0,0,0,2,.5,2023,England,19
Tom Cleverley,Midfield,32,175,1,1900000,2000000,1686,58.137932,.068965517,2,.0011862396,0,0,0,2,.15384616,2023,England,1.9
Tom Heaton,Goalkeeper,36,188,1,900000,1000000,22,22,0,0,0,0,0,0,0,.41666666,2023,England,.89999998
Toma Bašić,Midfield,25,190,4,8500000,9000000,1626,40.650002,.075000003,3,.0018450185,.025,1,.00061500614,3,.4375,2023,Croatia,8.5
Tommaso Augello,Defender,27,180,4,3750000,4000000,2567,67.552635,.052631579,2,.00077911961,.02631579,1,.00038955981,0,.29268292,2023,Italy,3.75
Tomás Alarcón,Midfield,23,176,3,3000000,3000000,1459,60.791668,.041666668,1,.00068540097,.041666668,1,.00068540097,5,.27906978,2023,Chile,3
Toni Kroos,Midfield,32,183,3,25000000,30000000,3397,75.488892,.06666667,3,.00088313216,.06666667,3,.00088313216,6,.6964286,2023,Germany,25
Tony Jantschke,Defender,32,177,2,1000000,1200000,227,75.666664,0,0,0,0,0,0,0,.37837839,2023,Germany,1
Trent Alexander-Arnold,Defender,23,180,1,80000000,80000000,3949,89.75,.38636363,17,.0043048873,.045454547,2,.00050645735,4,.7719298,2023,England,80
Trevoh Chalobah,Defender,22,192,1,17000000,20000000,1857,71.42308,.03846154,1,.00053850294,.15384616,4,.0021540117,3,.63157892,2023,England,17
Tristan Dingomé,Midfield,31,174,5,1650000,1800000,1074,42.959999,.2,5,.0046554934,.079999998,2,.0018621974,3,.23684211,2023,France,1.65
Tyler Adams,Midfield,23,175,2,18000000,20000000,2060,55.675674,.027027028,1,.0004854369,0,0,0,9,.53846157,2023,United States,18
Tyrick Mitchell,Defender,22,175,1,17000000,25000000,3444,86.099998,.050000001,2,.00058072008,0,0,0,1,.3488372,2023,England,17
Tyrone Mings,Defender,29,196,1,31000000,32000000,3278,88.594597,.081081077,3,.00091519218,.027027028,1,.00030506405,11,.33333334,2023,England,31
Tyronne Ebuehi,Defender,26,187,4,1400000,1400000,1262,63.099998,0,0,0,0,0,0,1,.19512194,2023,Nigeria,1.4
Téji Savanier,Midfield,30,172,5,12000000,12000000,2422,83.517242,.24137931,7,.0028901733,.27586207,8,.0033030554,9,.31578946,2023,France,12
Uroš Račić,Midfield,24,193,3,7500000,8000000,1433,43.424244,.030303031,1,.00069783669,0,0,0,5,.37777779,2023,Serbia,7.5
Valentin Rongier,Midfield,27,172,5,11333333,12000000,2541,70.583336,.027777778,1,.00039354584,0,0,0,8,.5,2023,France,11.333333
Valerio Verre,Midfield,28,181,4,2650000,2800000,811,40.549999,.050000001,1,.0012330456,.050000001,1,.0012330456,2,.29268292,2023,Italy,2.6500001
Valon Berisha,Midfield,29,176,5,2666666.8,3000000,453,34.846153,.07692308,1,.0022075055,0,0,0,2,.28947368,2023,Kosovo,2.6666667
Valère Germain,Attack,32,181,5,2750000,3000000,1974,58.058823,.088235296,3,.0015197569,.11764706,4,.0020263426,3,.31578946,2023,France,2.75
Vanja Milinković-Savić,Goalkeeper,25,202,4,2833333.3,4500000,2550,91.071426,0,0,0,0,0,0,3,.34999999,2023,Serbia,2.8333333
Vasilios Lampropoulos,Defender,32,185,2,600000,700000,1264,84.26667,0,0,0,0,0,0,1,.39473686,2023,Greece,.60000002
Vedat Muriqi,Attack,28,194,3,7000000,8000000,1914,59.8125,.125,4,.0020898641,.15625,5,.0026123303,8,.3255814,2023,Kosovo,7
Vid Belec,Goalkeeper,32,192,4,600000,700000,2026,84.416664,0,0,0,0,0,0,1,.2,2023,Slovenia,.60000002
Viktor Kovalenko,Midfield,26,182,4,3500000,4000000,1410,52.222221,.14814815,4,.0028368793,.037037037,1,.00070921984,4,.27500001,2023,Ukraine,3.5
Vincent Le Goff,Defender,32,177,5,1000000,1000000,3060,90,.029411765,1,.0003267974,.029411765,1,.0003267974,1,.21052632,2023,France,1
Vincent Manceau,Defender,32,176,5,850000,900000,2359,84.25,0,0,0,0,0,0,2,.2631579,2023,France,.85000002
Vincent Pajot,Midfield,31,180,5,1000000,1000000,2317,77.23333,0,0,0,.033333335,1,.00043159258,6,.15789473,2023,France,1
Vincenzo Fiorillo,Goalkeeper,32,190,4,300000,300000,180,90,0,0,0,0,0,0,0,.2,2023,Italy,.30000001
Vincenzo Grifo,Attack,29,180,2,12000000,12000000,3315,82.875,.2,8,.0024132731,.32499999,13,.0039215689,1,.5,2023,Italy,12
Virgil van Dijk,Defender,30,193,1,55000000,55000000,4321,90.020836,.10416666,5,.0011571395,.0625,3,.00069428375,4,.7719298,2023,Netherlands,55
Vitaliy Mykolenko,Defender,23,180,1,17666666,18000000,3127,84.513512,.081081077,3,.000959386,.027027028,1,.00031979533,3,.33333334,2023,Ukraine,17.666666
Vitaly Janelt,Midfield,24,184,1,11500000,14000000,2441,73.969696,.030303031,1,.00040966817,.12121212,4,.0016386727,3,.34999999,2023,Germany,11.5
Wahbi Khazri,Attack,31,176,5,4250000,4500000,2238,74.599998,0,0,0,.33333334,10,.0044682752,6,.18421052,2023,Tunisia,4.25
Waldemar Anton,Defender,25,189,2,6500000,7500000,2608,86.933334,.033333335,1,.00038343557,.06666667,2,.00076687115,5,.22222222,2023,Germany,6.5
Walter Benítez,Goalkeeper,29,191,5,13000000,14000000,3330,90,0,0,0,0,0,0,2,.52631581,2023,Argentina,13
Wesley Saïd,Attack,27,171,5,2500000,2500000,647,30.809525,.047619049,1,.001545595,.23809524,5,.0077279755,2,.44736841,2023,France,2.5
Weston McKennie,Midfield,23,185,4,25000000,25000000,1966,67.793106,0,0,0,.13793103,4,.002034588,1,.55769229,2023,United States,25
Wilfried Zaha,Attack,29,180,1,39000000,40000000,3032,84.222221,.055555556,2,.00065963063,.41666666,15,.0049472298,6,.3488372,2023,Ivory Coast,39
Will Hughes,Midfield,27,185,1,6000000,6000000,1243,62.150002,.050000001,1,.00080450525,.050000001,1,.00080450525,6,.3488372,2023,England,6
Willem Geubbels,Attack,20,185,5,4250000,4500000,531,24.136364,.045454547,1,.0018832391,.090909094,2,.0037664783,1,.39473686,2023,France,4.25
William Saliba,Defender,21,192,5,27000000,30000000,3780,90,0,0,0,0,0,0,6,.5,2023,France,27
William Troost-Ekong,Defender,28,191,1,4500000,5000000,1388,81.647057,0,0,0,0,0,0,3,.15384616,2023,Nigeria,4.5
Wissam Ben Yedder,Attack,31,170,5,26500000,28000000,3195,66.5625,.125,6,.0018779343,.5625,27,.0084507046,3,.5,2023,France,26.5
Wout Faes,Defender,24,187,5,9000000,10000000,3330,90,0,0,0,.10810811,4,.0012012012,2,.28947368,2023,Belgium,9
Wout Weghorst,Attack,29,197,1,17000000,20000000,3529,80.204544,.090909094,4,.0011334656,.20454545,9,.0025502976,7,.17948718,2023,Netherlands,17
Wylan Cyprien,Midfield,27,180,5,4750000,5000000,1494,62.25,.125,3,.0020080321,.083333336,2,.0013386881,3,.39473686,2023,France,4.75
Xaver Schlager,Midfield,24,174,2,27000000,27000000,1168,77.866669,.06666667,1,.00085616438,0,0,0,2,.31707317,2023,Austria,27
Xavier Chavalerin,Midfield,31,179,5,3750000,4000000,2943,79.540543,.054054055,2,.00067957869,.13513513,5,.0016989467,4,.23684211,2023,France,3.75
Yacine Adli,Midfield,21,186,5,9000000,9000000,2263,62.861111,.22222222,8,.0035351303,.027777778,1,.00044189129,5,.15789473,2023,France,9
Yan Valery,Defender,23,185,1,2500000,2500000,609,76.125,.125,1,.0016420361,0,0,0,3,.2857143,2023,France,2.5
Yangel Herrera,Midfield,24,184,3,16000000,18000000,1651,71.782608,.043478262,1,.00060569349,.043478262,1,.00060569349,7,.31707317,2023,Venezuela,16
Yann Sommer,Goalkeeper,33,183,2,5000000,5000000,3219,89.416664,.027777778,1,.00031065548,0,0,0,2,.37837839,2023,Switzerland,5
Yannick Gerhardt,Midfield,28,184,2,6375000,7000000,1789,54.21212,.18181819,6,.003353829,.030303031,1,.00055897149,2,.31707317,2023,Germany,6.375
Yerry Mina,Defender,27,195,1,20000000,20000000,923,65.928574,0,0,0,.071428575,1,.0010834236,3,.33333334,2023,Colombia,20
Yoane Wissa,Attack,25,176,1,11000000,12000000,1335,43.064518,.032258064,1,.00074906368,.22580644,7,.0052434457,0,.34999999,2023,France,11
Yoann Salmier,Defender,29,188,5,1900000,2000000,2671,86.161293,.032258064,1,.00037439162,0,0,0,5,.23684211,2023,France,1.9
Yoann Touzghar,Attack,35,180,5,975000,1500000,1459,52.107143,0,0,0,.14285715,4,.0027416039,0,.23684211,2023,Tunisia,.97500002
Yohann Magnin,Midfield,25,183,5,1750000,2000000,1716,71.5,.041666668,1,.0005827506,.041666668,1,.0005827506,2,.23684211,2023,France,1.75
Youri Tielemans,Midfield,25,177,1,55000000,55000000,3227,80.675003,.125,5,.0015494267,.175,7,.0021691974,4,.38297874,2023,Belgium,55
Youssef En-Nesyri,Attack,25,192,3,33333334,40000000,1581,54.517242,.10344828,3,.0018975332,.1724138,5,.0031625554,4,.46153846,2023,Morocco,33.333336
Youssouf Fofana,Midfield,23,185,5,16000000,18000000,2861,68.119049,.095238097,4,.0013981125,.023809524,1,.00034952813,6,.5,2023,France,16
Youssouf Koné,Defender,26,174,5,1800000,2000000,977,46.523811,.047619049,1,.0010235414,0,0,0,2,.23684211,2023,Mali,1.8
Youssouf Sabaly,Defender,29,173,3,3000000,3000000,1409,82.882355,.05882353,1,.00070972322,0,0,0,1,.53571427,2023,Senegal,3
Yunis Abdelhamid,Defender,34,190,5,1350000,1500000,2984,87.764709,0,0,0,.05882353,2,.00067024131,5,.28947368,2023,Morocco,1.35
Yves Bissouma,Midfield,25,182,1,31666666,35000000,2206,81.703705,.074074075,2,.00090661831,.074074075,2,.00090661831,10,.32499999,2023,Mali,31.666666
Zack Steffen,Goalkeeper,27,191,1,6000000,6000000,630,90,0,0,0,0,0,0,1,.71428573,2023,United States,6
Zaydou Youssouf,Midfield,22,182,5,4000000,4000000,1557,51.900002,0,0,0,.033333335,1,.00064226077,3,.18421052,2023,France,4
Zinho Vanheusden,Defender,22,187,4,9000000,10000000,1199,74.9375,0,0,0,0,0,0,3,.14634146,2023,Belgium,9
Zlatan Ibrahimović,Attack,40,195,4,3500000,4000000,1168,43.259258,.11111111,3,.0025684931,.2962963,8,.006849315,3,.60416669,2023,Sweden,3.5
Ángel Correa,Attack,27,171,3,43333332,45000000,2428,49.551022,.12244898,6,.0024711697,.26530612,13,.005354201,5,.49019608,2023,Argentina,43.333332
Çağlar Söyüncü,Defender,26,185,1,42500000,45000000,3173,88.138885,0,0,0,.027777778,1,.00031515915,6,.38297874,2023,Turkey,42.5
Óscar Duarte,Defender,33,186,3,800000,800000,1819,75.791664,0,0,0,.083333336,2,.0010995052,5,.23076923,2023,Costa Rica,.80000001
İlkay Gündoğan,Midfield,31,180,1,30000000,35000000,2932,69.809525,.14285715,6,.0020463846,.23809524,10,.0034106411,2,.71428573,2023,Germany,30
